pressure,altitude,temperature,mixing_ratio
596.01,4.52,2.33,2.0961746795832
594.54,4.54,2.41,1.99862534311213
593.07,4.56,2.09,1.87560451893546
591.61,4.58,1.62,1.78859569776119
590.15,4.6,1.33,1.77011115328675
588.69,4.62,1.16,1.7669299681241
587.23,4.64,0.98,1.7553561782156
585.78,4.66,0.84,1.73498473940931
584.33,4.68,0.77,1.70973151675372
582.88,4.7,0.67,1.68781497331838
581.43,4.72,0.41,1.63999414963021
579.99,4.74,0.17,1.60886767430136
578.55,4.76,0.07,1.5812342317991
577.11,4.78,-0.06,1.55701215762742
575.67,4.8,-0.2,1.55153475511994
574.24,4.82,-0.34,1.55898817502231
572.81,4.84,-0.61,1.56409059891549
571.38,4.86,-0.77,1.58126054132039
569.96,4.88,-0.7,1.6252388186038
568.54,4.9,-0.7,1.66123488157989
567.12,4.92,-0.9,1.65367494512844
565.71,4.94,-1.14,1.6349274489725
564.29,4.96,-1.35,1.60154315226598
562.88,4.98,-1.62,1.52557494040218
561.47,5,-2.01,1.37430516834232
560.07,5.02,-2.15,1.27622007477332
558.67,5.04,-2.14,1.23371126132795
557.27,5.06,-2.21,1.20711977772037
555.87,5.08,-2.36,1.19094349626124
554.48,5.1,-2.57,1.17536176970336
553.09,5.12,-2.71,1.17734216089964
551.7,5.14,-2.69,1.21609495046843
550.31,5.16,-2.52,1.28082256175449
548.93,5.18,-2.29,1.34739127199743
547.55,5.2,-2.32,1.37128044322208
546.18,5.22,-2.78,1.33966588974021
544.81,5.24,-3.31,1.3126226435661
543.43,5.26,-3.55,1.35722079884872
542.07,5.28,-3.43,1.444046966213
540.71,5.3,-3.37,1.52582956510167
539.35,5.32,-3.56,1.56239894971213
537.99,5.34,-3.75,1.57097937803455
536.63,5.36,-3.98,1.56374548219122
535.28,5.38,-4.33,1.53704086496921
533.93,5.4,-4.69,1.50441577383639
532.58,5.42,-5.03,1.47953625804847
531.23,5.44,-5.11,1.47919186613811
529.88,5.46,-5.12,1.48183751655845
528.54,5.48,-5.27,1.45402841681614
527.2,5.5,-5.47,1.42113455735528
525.86,5.52,-5.83,1.37186042345016
524.52,5.54,-6.19,1.3286351152088
523.19,5.56,-6.37,1.31365801496628
521.86,5.58,-6.41,1.30389633852323
520.53,5.6,-6.38,1.28751530437491
519.21,5.62,-6.33,1.2774700971179
517.88,5.64,-6.49,1.24689963050197
516.56,5.66,-7,1.18858673577128
515.25,5.68,-7.52,1.13597767480411
513.93,5.7,-7.65,1.12741344660943
512.62,5.72,-7.42,1.16779075580486
511.31,5.74,-7.21,1.22047539490494
510.01,5.76,-7.27,1.25691050552662
508.71,5.78,-7.35,1.27822885503124
507.41,5.8,-7.35,1.29450452062339
506.11,5.82,-7.54,1.27877087666951
504.82,5.84,-8.09,1.24044365760671
503.52,5.86,-8.6,1.2146438783989
502.23,5.88,-8.75,1.23093628912404
500.94,5.9,-8.47,1.28170694588567
499.66,5.92,-8.48,1.28398772021709
498.38,5.94,-8.9,1.24151419008864
497.1,5.96,-9.46,1.19830558745259
495.82,5.98,-9.65,1.1871365627565
494.54,6,-9.58,1.20057753791544
493.27,6.02,-9.2,1.22888650216707
492,6.04,-9.09,1.2350246590617
490.74,6.06,-9.64,1.20414494608787
489.47,6.08,-10.34,1.16667846586134
488.21,6.1,-10.24,1.21854109626987
486.95,6.12,-9.98,1.28769412466598
485.69,6.14,-10.1,1.30795234664226
484.43,6.16,-10.3,1.31581536741607
483.18,6.18,-10.55,1.31790637548603
481.93,6.2,-11.08,1.29696261672729
480.68,6.22,-11.49,1.28451541834533
